domain,timestamp,active_score,https_valid,certificate_valid,certificate_expiry_days,tls_version,hsts_enabled,redirects_count,server_header_leak,software_version_exposed,security_headers_count,open_ports_count,expired_cert,weak_tls,missing_hsts,info_disclosure,suspicious_redirect,insecure_ports
trafficmanager.net,2026-02-28T20:26:53.732543Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
twitter.com,2026-02-28T20:26:54.673003Z,100.0,True,True,62,TLSv1.3,True,1,False,cloudflare envoy,4,2,False,False,False,False,False,False
ui.com,2026-02-28T20:26:55.111019Z,90.0,True,True,209,TLSv1.3,True,0,True,AmazonS3,4,2,False,False,False,True,False,False
unity3d.com,2026-02-28T20:26:57.237299Z,80.0,True,True,276,TLSv1.2,False,1,False,None,0,2,False,False,True,False,False,False
Untitled-1,2026-02-28T20:27:06.858819Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
vedcdnlb.com,2026-02-28T20:27:07.539562Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
vimeo.com,2026-02-28T20:27:08.286844Z,100.0,True,True,40,TLSv1.3,True,0,False,cloudflare,3,2,False,False,False,False,False,False
wa.me,2026-02-28T20:27:09.415840Z,100.0,True,True,8,TLSv1.3,True,1,False,None,3,2,False,False,False,False,False,False
whatsapp.com,2026-02-28T20:27:10.601722Z,100.0,True,True,8,TLSv1.3,True,1,False,None,4,2,False,False,False,False,False,False
whatsapp.net,2026-02-28T20:27:11.703100Z,100.0,True,True,8,TLSv1.3,True,1,False,None,4,2,False,False,False,False,False,False
wikipedia.org,2026-02-28T20:27:12.452666Z,80.0,True,True,68,TLSv1.3,True,1,True,ATS/9.2.11,1,2,False,False,False,True,False,False
windowsupdate.com,2026-02-28T20:27:17.854070Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
windows.com,2026-02-28T20:27:16.144869Z,90.0,True,True,162,TLSv1.3,True,4,False,None,1,2,False,False,False,False,True,False
windows.net,2026-02-28T20:27:17.774037Z,30.0,False,False,0,Unknown,False,0,False,None,0,2,False,False,True,False,False,False
wordpress.com,2026-02-28T20:27:18.524080Z,100.0,True,True,37,TLSv1.3,True,0,False,nginx,3,2,False,False,False,False,False,False
wordpress.org,2026-02-28T20:27:21.533552Z,100.0,True,True,56,TLSv1.3,True,0,False,nginx,2,2,False,False,False,False,False,False
workers.dev,2026-02-28T20:27:23.538095Z,100.0,True,True,37,TLSv1.3,True,1,False,cloudflare,5,2,False,False,False,False,False,False
x.com,2026-02-28T20:27:24.838901Z,100.0,True,True,62,TLSv1.3,True,0,False,cloudflare envoy,4,2,False,False,False,False,False,False
yahoo.com,2026-02-28T20:27:30.154921Z,100.0,True,True,32,TLSv1.3,True,1,False,ATS,5,2,False,False,False,False,False,False
yandex.net,2026-02-28T20:27:34.022753Z,90.0,True,True,159,TLSv1.3,False,2,False,None,3,2,False,False,True,False,False,False
yandex.ru,2026-02-28T20:27:35.443680Z,50.0,False,True,159,TLSv1.3,False,0,False,None,0,2,False,False,True,False,False,False
youtube.com,2026-02-28T20:27:37.272382Z,100.0,True,True,57,TLSv1.3,True,1,False,ESF,4,2,False,False,False,False,False,False
youtu.be,2026-02-28T20:27:36.522718Z,100.0,True,True,57,TLSv1.3,True,1,False,ESF,4,2,False,False,False,False,False,False
ytimg.com,2026-02-28T20:27:37.359305Z,30.0,False,False,0,Unknown,False,0,False,None,0,0,False,False,True,False,False,False
zoom.us,2026-02-28T20:27:40.083697Z,90.0,True,True,304,TLSv1.3,True,1,False,cloudflare,1,1,False,False,False,False,False,False
